정제역명,지하철_총하차,위도,경도,주변_버스_하차,주변_상가_수,총_유입_인구,혼잡_가성비_지수
여의나루,592539,37.528172558938,126.932510800097,505804.0709261785,146,1098343.0709261785,1.3292738028520108
봉화산,234832,37.6164237212154,127.093315645828,281090.9428400541,67,515922.9428400541,1.2986410289698695
도곡,398874,37.4907201674303,127.054921283256,375909.4684575966,100,774783.4684575966,1.2906815259097173
남태령,35938,37.4643782775355,126.98927797534,35601.75546724249,9,71539.75546724249,1.2580241767395055
외대앞,400529,37.5996571844333,127.066148066316,315232.24542447785,89,715761.2454244778,1.2434296523592017
서울,3693464,37.5569027906782,126.972559906677,1198628.908622515,595,4892092.908622514,1.2162481160700704
무악재,128094,37.5824229023731,126.950566274707,309946.41832700366,52,438040.41832700366,1.1871023566356302
대방,418393,37.5133103954309,126.925701522381,670429.2132034622,128,1088822.2132034623,1.1755811085567052
암사역사공원,192631,37.557446,127.138168,192391.437434996,44,385022.437434996,1.142787574001351
신이문,242651,37.6051926960718,127.069122234388,162054.5729795856,46,404705.5729795856,1.1366259673356072
천왕,338186,37.4871010261329,126.838414183938,205911.5722157581,61,544097.572215758,1.1211203836023103
잠실,3193402,37.514062738295,127.102052316075,1772489.8440169008,498,4965891.8440169,1.0028408095837382
노들,127137,37.5139923527763,126.956113037425,195825.33885373257,32,322962.33885373257,0.9908245348705829
